Time,Action,Data
2018/04/27 09:19:32,Create,"{u'description': u'Explore a new world and answer short questions with a partner (~ 15 minutes)', u'title': u'Language experiment (Crittun EX0)', u'url': u'https://rxdhawkins.me:8882/mp-game-3/forms/consent.html', u'assignment_duration': u'2 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 95}, u'frame_height': 650, u'keywords': u'language research stanford fun cognitive science university teaching', u'auto_approval_delay': u'5 minutes', u'reward': 1.2}"
2018/04/27 10:33:11,Expire,
2018/04/30 14:08:42,Add,43 assignments
2018/04/30 14:08:59,Add,4 hours
2018/04/30 15:45:31,Add,1 assignments
2018/04/30 17:09:08,Add,1 assignments
2018/04/30 17:09:13,Add,30 minutes
2018/04/30 17:09:17,Add,30 minutes
2018/04/30 17:18:11,Expire,
2018/04/30 17:19:04,Expire,
2018/05/02 12:59:47,Add,7 assignments
2018/05/02 13:07:36,Add,1 assignments
2018/05/02 13:13:32,Add,4 hours
2018/05/02 16:20:28,Expire,
2018/05/03 09:18:20,Add,3 hours
2018/05/03 09:39:14,Expire,
2018/05/03 09:40:39,Expire,
2018/05/03 09:57:11,Add,3 hours
2018/05/03 10:24:36,Expire,
