iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189033014	0	a	A glippet can be either a red fish without whiskers	18040	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189064178	0	a	or a thin orange one w/o whiskers, or a fat orange one with whiskers.	25937	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189100813	0	b	The things I have are called trufts.  They seem to be flowers, of either size or color, that do not have spikes on their stems	74813	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189118794	0	a	ok	871	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189138836	0	b	sounds good to me too	4472	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189262745	1	a	Dorbs are flowers	5528	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189313196	1	a	They are either big and blue w/o spikes, or small/green/wo spikes	43760	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189346733	1	a	or they can have spikes, and be either big and green, or small and blue.	23386	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189414811	1	b	Sapers are bugs.  They are either purple, with wide-set eyes and no wings	147652	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189441800	1	b	or orange, with either narrow or wide-set eyes, and wings	25185	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189452026	1	b	or orange, with wide-set eyes and no wings	3870	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189471747	1	b	I'm good when you are	5007	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189481133	1	a	I'm good	4969	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189496768	1	a	waiting on the site, I think	5391	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189663641	2	a	plovs are bugs. They can be purple with wide-set eyes/wings or no wings.	35123	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189682792	2	a	or purple with narrow eyes and wings	16865	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189693741	2	a	or green with wide-set eyes and wings	8689	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189708376	2	b	Cheebas are birds.  They are either orange, with a long tail, and either long or short legs	79668	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189718102	2	b	Orange, with no tail, and short legs	6291	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189727156	2	b	Or yellow, with no tail, and short legs	8132	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189746993	2	b	I'm all good	3324	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189762240	2	a	me too	1814	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189897806	3	a	morseths are birds. They can be either red or green	16241	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189913832	3	a	They have either long legs and no tail, or short legs and a long tail	14817	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189950754	3	b	stups are bugs.  they are either blue, with narrow eyes and either wings or no wings	63099	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189960402	3	b	or blue, with wide eyes, and no wings	7613	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189968306	3	b	or yellow, with narrow eyes, and no wings	6648	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189989164	3	a	ok	1135	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508189992287	3	b	ok	1182	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190116456	4	a	wugs are bugs	2912	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190147983	4	a	if they are purple, they either have no wings, or they have wings and narrow set eyes	23665	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190169565	4	a	blue wugs have wings and narrow set eyes	18552	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190196077	4	b	luzak is a flower	4894	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190203641	4	b	either big, orange, with no spikes	5222	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190207679	4	b	small, orange, with spikes	3090	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190217267	4	b	or yellow, either size, with spikes	8833	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190226447	4	a	ok	1335	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190227772	4	b	ok	695	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190332500	5	a	A mox is a bug with wide-set eyes.	7975	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190349495	5	a	Can be either blue/red, wings/no wings	14937	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190377528	5	b	a taifel is a fish.  it is either purple with whiskers, or orange with no whiskers	53130	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190396293	5	a	ok	887	chatMessage
pilot1	0814-fbf6d652-b1bc-4a8d-b1a1-296c0b2a6a5b	1508190397650	5	b	ok	634	chatMessage
