iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181023395	0	b	jav has wings if orange	921	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181033130	0	b	jav has wide eyes and no wings if blue	4903	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181036286	0	a	it looked like the fat red ones and skinny purple ones are not reesels	14218	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181073934	0	b	ok	260	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181224485	1	b	mox is skinny with whiskers if red	643	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181227248	1	b	mox is fat or skinny with whiskers if purp	496	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181264066	1	a	a fep i short with tailfeathers if its yellow or yellow and tall with no feathers on the tail, green and tall with feathers, green and short with no feathers	39242	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181276940	1	b	ok	2067	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181402486	2	b	glippest has no wings if yellow or blue	659	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181412618	2	a	all green are daith except the tall ones with tail feathers. 	14424	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181431781	2	b	ok	1659	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181433538	2	a	only purple tall tail feateher one is daith only one puplre one	20001	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181547591	3	b	a truft is red if it has no tail feathers or feet a truft is purp always except for it has both feet and tail featheres	1135	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181599519	3	a	Blins: orange no wings. Blue- short heads	45180	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181716237	4	b	lorch orange if skinny no whiskers or fat with whiskers	435	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181718729	4	b	lorch is blue if fat without whiskers or skinny with whiskers	472	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181776304	4	a	morseth's are yellow unless big with thorns one is purple with no thorns and small	20989	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181852172	5	b	mook purple and orange - big, no thorns or skinny with thorns	446	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181867614	5	a	kaz are red, that's it	13009	chatMessage
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181878724	5	b	ok	1461	chatMessage
