experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	 all are not distinguishable as different or similar it is a random trick not a differentiate species		humanPartner	likePartner	eventType
mp-game-6	pilot	7908-21266c3d-6d57-4c08-a7dc-485bccddd7fc	1548097599601	explorer	12	"bugs with purple legs and white heads"	bugs_purple_legs_white_heads	4	yes	2	yes	51	Male	2		no	2	shape color appendages eyes etc			yes	liked	logSubjInfo
mp-game-6	pilot	7908-21266c3d-6d57-4c08-a7dc-485bccddd7fc	1548097619137	student	12	"bugs with purple legs and white heads"	bugs_purple_legs_white_heads	4	yes	2	yes	32	Female	2	I think this hit is a lot of fun and I hope I get to do some similar hits in the future! Hopefully I get a better partner if given the chance		no	15	I planned to follow the instructions of the explorer but they were not very good to be honest	yes	okay	logSubjInfo
