50	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	humanPartner	likePartner	eventType
	mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548441749208	student	21	"bugs with purple wings or white legs"	bugs_purple_wings_or_white_legs	4	yes	2	confused	34	Female	3	N/A	Nothing that I encountered	$2	I tried to follow the other persons directions	no	not much	logSubjInfo
mp-game-6	pilot	4987-1df364dc-9556-4343-b0bb-ffb586270944	1548441756139	explorer	21	"bugs with purple wings or white legs"	bugs_purple_wings_or_white_legs	4	yes	2	yes	44	Male	3		no	3.00	it was hard towards the end i had no real strategy at that point	no	not much	logSubjInfo
