25	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems		fairprice	strategy	humanPartner	likePartner	eventType
	mp-game-6	pilot	4425-a3abb5f0-7f59-4223-83cb-3e9df1acc2c0	1548777899121	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	4	yes	2	yes	31	Male	4	its very interesting survey 	no		$1	focused information 	yes	loved	logSubjInfo
mp-game-6	pilot	4425-a3abb5f0-7f59-4223-83cb-3e9df1acc2c0	1548777903476	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	4	yes	2	yes	20	Male	2	Nope just really hard experiement!	No	2.00	Real dumb		yes	loved	logSubjInfo
