25	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy		humanPartner	likePartner	eventType
	mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100290642	explorer	7	"birds with purple tails"	birds_purple_tails	4	yes	2	yes	32	Male	3		No	$1	I just tried to see similarities		yes	liked	logSubjInfo
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100330588	student	7	"birds with purple tails"	birds_purple_tails	4	yes	1	yes	33	Female	2	N/A		No		2.00	I took what the explorer told me and based my choices off that	yes	okay	logSubjInfo
