experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	 It said we were connected and to start chatting	 I realized after that that I Had to wait longer		fairprice	strategy	humanPartner	likePartner	eventType
mp-game-6	pilot	0644-87cfbdf5-8503-4610-9dfe-0a62d731c4d2	1547851407549	student	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	4	yes	2	yes	49	Female	2		I thought that there was a glitch	 but I was not able to			3.00	I just followed my partner's suggestions	yes	liked	logSubjInfo
mp-game-6	pilot	0644-87cfbdf5-8503-4610-9dfe-0a62d731c4d2	1547851535363	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	4	yes	2	yes	27	Male	2	This was a lot of fun trying to work things out and getting to share		On the second one	3	As I was identifying the species one by one		yes	liked	logSubjInfo
