experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	 I wish there was more like this		problems	fairprice	strategy	humanPartner	likePartner	eventType
mp-game-6	pilot	2696-91598059-fd51-4c5b-a05d-4e1a231ea54e	1548691960168	explorer	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	4	yes	2	yes	23	Male	2	This was very fun			Nope	2.00	Trying the easiest way to describe as many as possible	yes	loved	logSubjInfo
mp-game-6	pilot	2696-91598059-fd51-4c5b-a05d-4e1a231ea54e	1548691972660	student	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	4	yes	1	yes	29	Male	2		none	1.00	I tried to follow what the explorer said		yes	not much	logSubjInfo
