experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	 Most HITS of this length pay more	 	problems	fairprice	strategy	humanPartner	likePartner	eventType
mp-game-6	pilot	5282-1d9ae0ed-9606-4151-845c-96897fd4d6fc	1547848354393	explorer	47	"bugs with (white heads or orange antennae) and purple legs"	bugs_white_heads_or_orange_antennae_purple_legs	4	yes	2	yes	40	Female	4	I think the pay was low for the amount of time it took			no	4.00	I just tried to see the patterns	yes	liked	logSubjInfo
mp-game-6	pilot	5282-1d9ae0ed-9606-4151-845c-96897fd4d6fc	1547848445449	student	47	"bugs with (white heads or orange antennae) and purple legs"	bugs_white_heads_or_orange_antennae_purple_legs	4	yes	2	yes	60	Female	4		No	It took us about 25 minutes to complete			Followed instructions to select the correct creatures	yes	liked	logSubjInfo
