experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments		problems	fairprice	strategy	 	humanPartner	likePartner	eventType
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548785077077	explorer	29	"fish with white stripes or whiskers"	fish_white_stripes_or_whiskers	4	yes	1	yes	33	Male	2	This took a lot more time than I thought it would		none	5.00	My strategy was to try and explain which ones were right as simply as I could		yes	okay	logSubjInfo
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548785273163	student	29	"fish with white stripes or whiskers"	fish_white_stripes_or_whiskers	4	yes	1	yes	32	Male	3	Definitely quite lengthy considering all the wait time		not that I am aware of	4.00	Well it was hard to establish a strategy in the limited window without having an understanding of how the task will unfold		yes	liked	logSubjInfo
