pred,trial_num,type
0.666666666667,0,train
0.0,1,train
0.333333333333,2,train
1.0,3,train
0.333333333333,4,train
1.0,5,train
0.333333333333,6,train
0.0,7,train
0.333333333333,8,train
0.666666666667,9,train
0.666666666667,10,train
0.0,11,train
1.0,12,train
0.0,13,train
0.0,14,train
0.333333333333,15,train
0.0,16,train
0.666666666667,17,train
1.0,18,train
0.333333333333,19,train
0.0,20,train
0.666666666667,21,train
0.666666666667,22,train
0.0,23,train
0.333333333333,24,train
0.333333333333,25,train
1.0,26,train
0.666666666667,27,train
0.333333333333,28,train
0.333333333333,29,train
0.333333333333,30,train
0.0,31,train
1.0,32,train
0.666666666667,33,train
0.0,34,train
1.0,35,train
0.666666666667,36,train
1.0,37,train
1.0,38,train
0.0,39,train
0.0,40,train
0.666666666667,41,train
1.0,42,train
0.333333333333,43,train
0.0,44,train
0.666666666667,45,train
0.0,46,train
1.0,47,train
1.0,48,train
1.0,49,train
1.0,50,train
0.666666666667,0,test
0.0,1,test
0.666666666667,2,test
0.0,3,test
1.0,4,test
1.0,5,test
0.0,6,test
0.0,7,test
1.0,8,test
0.0,9,test
0.666666666667,10,test
0.0,11,test
1.0,12,test
0.666666666667,13,test
1.0,14,test
1.0,15,test
0.666666666667,16,test
0.666666666667,17,test
0.0,18,test
0.666666666667,19,test
1.0,20,test
0.0,21,test
0.0,22,test
0.666666666667,23,test
0.666666666667,24,test
0.666666666667,25,test
1.0,26,test
0.0,27,test
0.0,28,test
0.0,29,test
