pred,trial_num,type
0.8333333333333334,0,train
0.8333333333333334,1,train
0.3333333333333333,2,train
0.0,3,train
0.0,4,train
0.0,5,train
0.0,6,train
0.6666666666666666,7,train
0.0,8,train
0.0,9,train
0.0,10,train
0.0,11,train
0.16666666666666666,12,train
0.16666666666666666,13,train
0.16666666666666666,14,train
0.6666666666666666,15,train
0.16666666666666666,16,train
0.16666666666666666,17,train
0.0,18,train
0.0,19,train
0.0,20,train
0.0,21,train
0.0,22,train
0.0,23,train
0.5,24,train
0.16666666666666666,25,train
0.0,26,train
0.0,27,train
0.16666666666666666,28,train
0.0,29,train
0.0,30,train
0.0,31,train
0.0,32,train
0.0,33,train
0.0,34,train
0.0,35,train
0.0,36,train
0.0,37,train
0.0,38,train
0.0,39,train
0.0,40,train
0.0,41,train
0.0,42,train
0.0,43,train
0.0,44,train
0.0,45,train
0.0,46,train
0.0,47,train
0.0,48,train
0.0,49,train
1.0,50,train
0.5,51,train
0.8333333333333334,52,train
0.0,0,test
0.0,1,test
0.0,2,test
0.0,3,test
0.0,4,test
0.0,5,test
0.0,6,test
0.0,7,test
0.0,8,test
0.0,9,test
0.0,10,test
0.0,11,test
0.16666666666666666,12,test
0.0,13,test
0.0,14,test
1.0,15,test
0.0,16,test
0.0,17,test
0.0,18,test
0.0,19,test
1.0,20,test
0.8333333333333334,21,test
0.0,22,test
0.0,23,test
1.0,24,test
0.0,25,test
0.0,26,test
0.0,27,test
