pred,trial_num,type
1.0,0,train
1.0,1,train
1.0,2,train
0.0,3,train
1.0,4,train
0.0,5,train
1.0,6,train
0.0,7,train
0.0,8,train
1.0,9,train
1.0,10,train
0.0,11,train
1.0,12,train
1.0,13,train
1.0,14,train
1.0,15,train
1.0,16,train
1.0,17,train
1.0,18,train
1.0,19,train
0.0,20,train
1.0,21,train
0.0,22,train
1.0,23,train
0.0,24,train
1.0,25,train
0.0,26,train
1.0,27,train
0.0,28,train
1.0,29,train
1.0,30,train
1.0,31,train
1.0,32,train
0.0,33,train
0.0,34,train
1.0,35,train
1.0,36,train
0.0,37,train
0.0,38,train
0.0,39,train
0.0,40,train
1.0,41,train
1.0,42,train
0.0,43,train
0.0,44,train
0.0,45,train
0.0,46,train
0.0,47,train
0.0,48,train
0.0,49,train
1.0,0,test
1.0,1,test
1.0,2,test
1.0,3,test
1.0,4,test
1.0,5,test
0.0,6,test
0.0,7,test
0.0,8,test
1.0,9,test
1.0,10,test
0.0,11,test
1.0,12,test
1.0,13,test
0.0,14,test
1.0,15,test
0.0,16,test
0.0,17,test
1.0,18,test
1.0,19,test
0.0,20,test
0.0,21,test
0.0,22,test
1.0,23,test
1.0,24,test
0.0,25,test
1.0,26,test
0.0,27,test
1.0,28,test
0.0,29,test
1.0,30,test
