pred,trial_num,type
0.8,0,train
0.2,1,train
0.6,2,train
0.0,3,train
0.4,4,train
0.2,5,train
0.0,6,train
0.2,7,train
0.0,8,train
0.0,9,train
0.2,10,train
0.0,11,train
0.2,12,train
0.2,13,train
0.8,14,train
0.2,15,train
0.4,16,train
0.4,17,train
0.2,18,train
0.4,19,train
0.2,20,train
1.0,21,train
0.2,22,train
0.8,23,train
0.2,24,train
0.2,25,train
0.2,26,train
0.8,27,train
0.0,28,train
0.0,29,train
0.0,30,train
0.2,31,train
0.8,32,train
0.2,33,train
0.2,34,train
0.2,35,train
0.6,36,train
0.6,37,train
0.2,38,train
0.8,39,train
0.2,40,train
0.8,41,train
0.2,42,train
0.0,43,train
0.8,44,train
0.2,45,train
0.0,46,train
0.0,47,train
0.0,48,train
0.0,49,train
0.8,0,test
0.8,1,test
0.8,2,test
0.8,3,test
0.4,4,test
0.2,5,test
0.2,6,test
0.8,7,test
0.0,8,test
1.0,9,test
0.4,10,test
0.0,11,test
0.2,12,test
0.0,13,test
1.0,14,test
0.0,15,test
0.0,16,test
0.2,17,test
0.0,18,test
0.2,19,test
0.2,20,test
0.8,21,test
0.2,22,test
0.0,23,test
0.0,24,test
0.6,25,test
0.8,26,test
0.2,27,test
0.2,28,test
0.6,29,test
0.0,30,test
