iterationName	gameid	time	trialNum	role	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	humanPartner	likePartner	eventType
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181992742	6	a	yes	2	yes	32	Male	2		no	yes	memory	yes	okay	logSubjInfo
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508182010271	6	b	yes	1	yes	32	Male	3		No	5	I just tried to jot down the features and relay them to my partner	yes	loved	logSubjInfo
