iterationName	gameid	time	trialNum	role	tar1	tar2	tar3	col1	col2	col3	col4	col5	prop1	prop2	categoryLabel	genus	conceptNumber	categoryPluralLabel	labeled	colorName	featureValues	featureOrder	block_num	time_in_ms	block	critter_num	eventType
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191388757	0	b	0	1	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0.8	0	pangolin	fish	iv	pangolins	true	blue	1_1_1	property_size_colors	0	8975	learnCritters	0	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191388770	0	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0.8	0	pangolin	fish	iv	pangolins	false	purple	0_1_0	property_size_colors	0	8975	learnCritters	1	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191388771	0	b	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0.8	0	pangolin	fish	iv	pangolins	true	purple	1_1_0	property_size_colors	0	8975	learnCritters	2	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191388771	0	b	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	pangolin	fish	iv	pangolins	false	purple	1_0_0	property_size_colors	0	8975	learnCritters	3	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191388772	0	b	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0.8	0	pangolin	fish	iv	pangolins	true	blue	0_1_1	property_size_colors	0	8975	learnCritters	4	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191388773	0	b	0	1	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	pangolin	fish	iv	pangolins	true	blue	1_0_1	property_size_colors	0	8975	learnCritters	5	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191388774	0	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	pangolin	fish	iv	pangolins	false	purple	0_0_0	property_size_colors	0	8975	learnCritters	6	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191388774	0	b	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	pangolin	fish	iv	pangolins	false	blue	0_0_1	property_size_colors	0	8975	learnCritters	7	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191442971	0	a	0	0	0	#f42935	#f42935	#f42935	#f42935	#f42935	0	0	plov	bug	v	plovs	false	red	0_0_0	size_property_colors	0	59965	learnCritters	0	logTrain
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191442974	0	a	0	1	0	#228b22	#228b22	#228b22	#228b22	#228b22	1	0	plov	bug	v	plovs	false	green	1_1_1	size_property_colors	0	59965	learnCritters	1	logTrain
