experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	2266-cbab2734-86eb-40f9-8da3-8bc86efa29f4	1548694193103	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0	188.523	48.397	277.87	logTimes
mp-game-6	pilot	2266-cbab2734-86eb-40f9-8da3-8bc86efa29f4	1548694337420	student	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0	-1	196.169	277.495	logTimes
mp-game-6	pilot	2266-cbab2734-86eb-40f9-8da3-8bc86efa29f4	1548694729389	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	1	127.678	43.669	166.528	logTimes
mp-game-6	pilot	2266-cbab2734-86eb-40f9-8da3-8bc86efa29f4	1548694763116	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	1	-1	82.907	166.143	logTimes
