Time,Action,Data
2018/10/24 08:08:59,Create,"{u'description': u'Explore a world of creatures and answer short questions with a partner (~ 15 minutes)', u'title': u'Language experiment (MP-5 -- Pilot)', u'url': u'https://rxdhawkins.me:8887/mp-game-5/forms/consent.html', u'assignment_duration': u'2 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 95}, u'frame_height': 650, u'keywords': u'language research stanford fun cognitive science university teaching', u'auto_approval_delay': u'5 minutes', u'reward': 1.25}"
2018/10/24 12:17:29,Add,3 assignments
2018/10/24 14:17:34,Add,4 hours
2018/10/24 14:19:45,Add,1 assignments
2018/10/24 18:30:17,Add,6 hours
2018/10/24 19:32:14,Expire,
2018/11/10 15:40:13,Add,7 hours
2018/11/10 15:41:18,Add,6 assignments
2018/11/10 17:00:57,Add,1 assignments
2018/11/10 17:01:15,Add,3 hours
2018/11/10 17:37:21,Expire,
2018/11/12 08:53:20,Add,5 assignments
2018/11/12 08:58:13,Add,10 hours
2018/11/12 12:59:48,Add,1 assignments
2018/11/12 13:23:43,Add,3 hours
2018/11/12 16:47:59,Add,3 hours
2018/11/12 16:48:44,Add,3 hours
2018/11/12 21:10:17,Expire,
