iterationName	gameid	time	trialNum	role	block_num	time_in_ms	block	critter	critter_num	species	color	prop1	prop2	tar1	tar2	tar3	internal_prop	eventType
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403819	1	playerB	0	18004	learnCritters	tree	0	 cheeba	#FF8C00	0.8	0.8	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403863	1	playerB	0	18004	learnCritters	tree	1	grink	#B630F0	0.8	0.8	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403864	1	playerB	0	18004	learnCritters	tree	2	stup	#5CA4DB	0.8	0.8	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403865	1	playerB	0	18004	learnCritters	tree	3	grink	#B630F0	0.8	0.8	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403865	1	playerB	0	18004	learnCritters	tree	4	stup	#5CA4DB	0.8	0.8	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403866	1	playerB	0	18004	learnCritters	tree	5	stup	#5CA4DB	0.8	0.8	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403869	1	playerB	0	18004	learnCritters	tree	6	grink	#B630F0	0.8	0.8	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403869	1	playerB	0	18004	learnCritters	tree	7	 cheeba	#FF8C00	0.8	0.8	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403870	1	playerB	0	18004	learnCritters	tree	8	grink	#B630F0	0.8	0.8	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403870	1	playerB	0	18004	learnCritters	tree	9	 cheeba	#FF8C00	0.8	0.8	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403903	1	playerB	0	18004	learnCritters	tree	10	 cheeba	#FF8C00	0.8	0.8	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739403904	1	playerB	0	18004	learnCritters	tree	11	stup	#5CA4DB	0.8	0.8	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406209	1	playerA	0	13355	learnCritters	fish	0	zorb	#5CA4DB	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406215	1	playerA	0	13355	learnCritters	fish	1	kwep	#B630F0	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406215	1	playerA	0	13355	learnCritters	fish	2	kwep	#B630F0	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406216	1	playerA	0	13355	learnCritters	fish	3	kaz	#F52A37	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406217	1	playerA	0	13355	learnCritters	fish	4	zorb	#5CA4DB	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406217	1	playerA	0	13355	learnCritters	fish	5	kaz	#F52A37	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406217	1	playerA	0	13355	learnCritters	fish	6	zorb	#5CA4DB	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406218	1	playerA	0	13355	learnCritters	fish	7	kaz	#F52A37	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406218	1	playerA	0	13355	learnCritters	fish	8	zorb	#5CA4DB	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406219	1	playerA	0	13355	learnCritters	fish	9	kwep	#B630F0	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406219	1	playerA	0	13355	learnCritters	fish	10	kwep	#B630F0	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739406220	1	playerA	0	13355	learnCritters	fish	11	kaz	#F52A37	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495023	2	playerB	1	11194	learnCritters	bird	0	taifel	#228C22	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495083	2	playerB	1	11194	learnCritters	bird	1	crullet	#F52A37	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495084	2	playerB	1	11194	learnCritters	bird	2	crullet	#F52A37	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495084	2	playerB	1	11194	learnCritters	bird	3	crullet	#F52A37	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495085	2	playerB	1	11194	learnCritters	bird	4	taifel	#228C22	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495085	2	playerB	1	11194	learnCritters	bird	5	taifel	#228C22	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495086	2	playerB	1	11194	learnCritters	bird	6	pangolin	#B630F0	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495086	2	playerB	1	11194	learnCritters	bird	7	pangolin	#B630F0	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495087	2	playerB	1	11194	learnCritters	bird	8	pangolin	#B630F0	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495087	2	playerB	1	11194	learnCritters	bird	9	pangolin	#B630F0	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495154	2	playerB	1	11194	learnCritters	bird	10	taifel	#228C22	0.8	0.8	true	true	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739495154	2	playerB	1	11194	learnCritters	bird	11	crullet	#F52A37	0.8	0.8	true	true	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504764	2	playerA	1	21433	learnCritters	bug	0	mox	#F52A37	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504768	2	playerA	1	21433	learnCritters	bug	1	fep	#FF8C00	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504769	2	playerA	1	21433	learnCritters	bug	2	mox	#F52A37	0	0	false	false	false	1	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504769	2	playerA	1	21433	learnCritters	bug	3	ackle	#B630F0	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504770	2	playerA	1	21433	learnCritters	bug	4	ackle	#B630F0	0	0	false	false	false	0	logTrain
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739504770	2	playerA	1	21433	learnCritters	bug	5	fep	#FF8C00	0	0	false	false	false	1	logTrain
