iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525364858052	1	explorer	Hi there!	2562	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525364866741	1	student	Hi	2354	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525364879613	1	explorer	Did you see a preview of any of the creatures?	4830	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525364885788	1	student	No	1566	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525364911755	1	explorer	Ok, so there are bird like ones, fish ones, and little bug guys with wings on their back and lots of legs	23430	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525364925435	1	explorer	All of the bird ones are wudsy no matter what colors they are	11545	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525364955662	1	explorer	If you see a fish with a green body (the color of the stripes doesn't matter), it's wudsy	21105	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525364978975	1	explorer	And wudsy bugs have green wings on their back, the color of their body doesn't matter	19564	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525365002076	1	student	Okay, so all of the bird ones, the fish with green bodies, and the bugs with green wings	15728	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525365007356	1	explorer	Yup!	886	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525365014841	1	student	Okay, thanks!	4622	chatMessage
pilot1	4097-97df944e-217c-461d-af7e-e7b1c6c9ed24	1525365046287	1	explorer	No problem! Hope that was clear enough so it all makes sense when you see them	29623	chatMessage
