iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124452376	1	student	Hi	368	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124465268	1	explorer	Hi, so the 'wudsy' creatures looked like fish	9868	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124475749	1	explorer	but the ones that are 'wudsy' are mostly blue	10162	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124486232	1	explorer	so it didn't matter if it was a tall or skinny or fat fish, as long as it was blue	9874	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124492910	1	student	so they're only blue fish	9969	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124498105	1	student	are all blue fish wudsy?	4042	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124501673	1	explorer	they have stripes	4516	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124509393	1	explorer	so they can be two diff colors	4752	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124514644	1	explorer	but the ones that were 'wudsy' were mainly blue	6154	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124521808	1	explorer	so if it was a red/orange fish, it was not wudsy	6754	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124526066	1	explorer	if it was blue/red it was 	4038	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124555926	1	student	ok, i think i got it	16987	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124559246	1	student	thanks	1452	chatMessage
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124564108	1	explorer	good luck, thanks!	3122	chatMessage
