iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127132069	1	explorer	0	2.017	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127134155	1	explorer	1	2.058	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127135561	1	explorer	2	1.396	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127136987	1	explorer	3	1.417	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127137800	1	student	0	6.335	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127138448	1	explorer	4	1.434	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127139964	1	explorer	5	1.496	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127141271	1	student	1	3.422	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127141371	1	explorer	6	1.388	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127142678	1	explorer	7	1.294	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127144297	1	explorer	8	1.606	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127145065	1	student	2	3.766	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127146271	1	explorer	9	1.963	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127147798	1	student	3	2.713	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127148290	1	explorer	10	2	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127149740	1	explorer	11	1.425	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127150023	1	student	4	2.183	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127151342	1	explorer	12	1.592	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127152100	1	student	5	2.054	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127153158	1	explorer	13	1.802	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127154548	1	explorer	14	1.379	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127156319	1	student	6	4.192	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127156982	1	explorer	15	2.425	true	true	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127158310	1	student	7	1.973	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127158442	1	explorer	16	1.447	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127160485	1	explorer	17	2.025	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127160593	1	student	8	2.27	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127162100	1	explorer	18	1.599	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127163358	1	student	9	2.732	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127163887	1	explorer	19	1.779	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127165539	1	explorer	20	1.643	true	true	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127165824	1	student	10	2.447	false	false	true	logTest
pilot1	0087-7660e87f-f38b-4371-8a40-5469bc382b09	1525127166949	1	explorer	21	1.399	true	true	true	logTest
