iterationName	gameid	time	trialNum	role	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy		humanPartner	likePartner	eventType
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124640872	1	student	yes	1	yes	26	Female	3		no	2.00	My partner didn't really help me		yes	not much	logSubjInfo
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124658123	1	explorer	yes	1	yes	26	Male	3	nice	Nothing like that	1.5	My decisions are depend upon the instructions		yes	okay	logSubjInfo
