iterationName	gameid	time	trialNum	role	nativeEnglish	enjoyment	assess	age	gender	education	comments		problems	fairprice	00	strategy	humanPartner	likePartner	eventType
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124712023	1	student	yes	2	yes	40	Male	3	I don't have any other comments		No	$2		I used the information from my partner to identify the wudsy	yes	liked	logSubjInfo
pilot1	5730-5e08314b-6f31-4a94-ad67-8da242d0118d	1525124713994	1	explorer	yes	2	yes	31	Female	4		No problems	1.50	I tried to be as descriptive as possible with my partner	 and paid attention to the colors	yes	liked	logSubjInfo
