iterationName	gameid	time	trialNum	role	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	humanPartner	likePartner	eventType
pilot1	3992-42693c58-9ed7-4912-9ccf-4a7b202e4bd3	1525132219746	1	student	yes	2	yes	27	Female	3		no	yes	Follow my partner's instructions	yes	liked	logSubjInfo
pilot1	3992-42693c58-9ed7-4912-9ccf-4a7b202e4bd3	1525132283363	1	explorer	yes	2	yes	43	Female	4	No comments	No	1.50	I determined which colors were important by trial and error	yes	liked	logSubjInfo
