iterationName	gameid	time	trialNum	role	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems		fairprice	strategy	  Figured out Wudsy were orange or had orange wings	humanPartner	likePartner	eventType
pilot1	4452-806525ef-b3d7-4665-af76-23867b46607d	1524847888260		explorer	yes	2	yes	45	Female	1	Very fun	No problems		1.20	I tried to focus on a pattern		yes	loved	logSubjInfo
pilot1	4452-806525ef-b3d7-4665-af76-23867b46607d	1524847923118		student	yes	2	yes	56	Female	4	It would have been more fun to be the explorer but it was fun anyway		No	.75	I just followed the description my partner gave me		yes	loved	logSubjInfo
