iterationName	gameid	time	trialNum	role	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	 	humanPartner	likePartner	eventType
pilot1	2476-35614035-5af8-43ef-8f25-50dc4a99bf1f	1524852869849		explorer	yes	1	yes	24	Male	3		No	1.50	I looked for the color orange		yes	okay	logSubjInfo
pilot1	2476-35614035-5af8-43ef-8f25-50dc4a99bf1f	1524852895239		student	yes	2	yes	29	Male	3	Awesome hit and I hope to see more in the future		None	1.00	I listened to my partner and used what they told me to make my decision	yes	loved	logSubjInfo
