Time,Action,Data
2018/03/29 15:09:06,Create,"{u'description': u'Explore a new world and answer short questions with a partner (~ 10 minutes)', u'title': u'Language experiment (Crittun 121)', u'url': u'https://rxdhawkins.me:8882/mp-game-4/forms/consent.html', u'assignment_duration': u'2 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 95}, u'frame_height': 650, u'keywords': u'language research stanford fun cognitive science university teaching', u'auto_approval_delay': u'5 minutes', u'reward': 1.5}"
2018/03/30 10:40:34,Create,"{u'description': u'Explore a new world and answer short questions with a partner (~ 13 minutes)', u'title': u'Language experiment (Crittun 121)', u'url': u'https://rxdhawkins.me:8882/mp-game-4/forms/consent.html', u'assignment_duration': u'2 hour', u'qualifications': {u'location': u'US', u'approval_percentage': 95}, u'frame_height': 650, u'keywords': u'language research stanford fun cognitive science university teaching', u'auto_approval_delay': u'5 minutes', u'reward': 1.5}"
2018/03/30 11:06:20,Expire,
2018/03/30 11:06:25,Expire,
2018/04/02 11:38:24,Add,1 day
2018/04/02 11:39:13,Add,1 day
2018/04/02 11:49:00,Expire,
2018/04/02 11:51:04,Add,1 day
2018/04/02 11:56:03,Add,1 assignments
2018/04/02 20:02:24,Expire,
2018/04/02 20:02:27,Expire,
2018/04/03 08:34:04,Expire,
