experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	 Depends what the bonus is	 	strategy	humanPartner	likePartner	eventType
mp-game-6	pilot	0220-2c78c871-f180-4df5-94a7-0a996d91b97a	1548097350580	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	4	yes	1	yes	34	Male	3			Probably not			At first I could tell differences	yes	loved	logSubjInfo
mp-game-6	pilot	0220-2c78c871-f180-4df5-94a7-0a996d91b97a	1548097433967	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	4	yes	1	yes	31	Female	2	I would have enjoyed this hit if I did not have an awful partner		My partner intentionally refused to work		2.00	I tried to listen to my partner and use what they said to pick things	yes	not much	logSubjInfo
