experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	

If you experience any problems	edu)

Thanks for participating in our experiment!	humanPartner	likePartner	eventType
mp-game-6	pilot	8949-65ce9c65-4fec-4a2f-8ec5-a3d57c5d8461	1548451052813	explorer	7	"birds with purple tails"	birds_purple_tails	0	yes	1	yes	24	Female	3		I had no partner	yes	Oops! It looks like your partner lost their connection!
Completing this survey will submit your HIT so you will still receive full compensation	 please email us (schopra8@stanford		yes	not much	logSubjInfo
