experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	 more precise strategies lead to worse results	humanPartner	likePartner	eventType
mp-game-6	pilot	8238-403f8254-4ada-417e-96bd-57f94e24e8fb	1547847746223	explorer	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	4	yes	2	yes	25	Male	3		No problems	2	we eventually used a very broad strategy and that seemed to work the best		yes	okay	logSubjInfo
mp-game-6	pilot	8238-403f8254-4ada-417e-96bd-57f94e24e8fb	1547847748213	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	4	yes	2	yes	27	Female	3		no	3	we first tried to identify all of the fish	yes	okay	logSubjInfo
