experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy		humanPartner	likePartner	eventType
mp-game-6	pilot	2554-b8e3398e-99f7-492d-890c-70d410930be2	1547759134796	explorer	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	4	yes	2	yes	34	Female	2		none	4.00	I looked for a common shared trait of each creature		yes	liked	logSubjInfo
mp-game-6	pilot	2554-b8e3398e-99f7-492d-890c-70d410930be2	1547759154972	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	4	yes	1	yes	34	Female	2		no	3	I followed what my partner said		yes	okay	logSubjInfo
