experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	humanPartner	likePartner	eventType
mp-game-6	pilot	6904-9b2d32a0-14e4-434a-8e3e-b8d02a9af048	1548098088121	explorer	3	"fish with whiskers"	fish_whiskers	4	yes	1	yes	30	Female	4		no	3.00	I tried to find the most prevalent trait in each creature	no	okay	logSubjInfo
mp-game-6	pilot	6904-9b2d32a0-14e4-434a-8e3e-b8d02a9af048	1548098095621	student	3	"fish with whiskers"	fish_whiskers	4	yes	2	yes	39	Female	3	none	no	3.00	to listen to my partner	no	okay	logSubjInfo
