iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	nativeEnglish	enjoyment	assess	age	gender	education	comments		problems	fairprice	strategy	humanPartner	likePartner	eventType
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540417548443	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	yes	2	yes	20	Female	2	This experiment was very interesting and fun		N/A	2	I tried to ask my partner questions that I knew would help me pick correctly	yes	liked	logSubjInfo
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540417589982	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	no	1	yes	34	Female	2		no	3	I tried to determine the common features of the creatures		yes	okay	logSubjInfo
