iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	nativeEnglish	enjoyment	assess	age	gender	education	comments	 Made me think a lot	 I liked it	 Thank you	problems	fairprice	strategy	humanPartner	likePartner	eventType
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667817697	explorer	14	DISJUNCTION,CONJUNCTION	./js/training_data_(large_or_body_color_green)_and_second_color_red_1.json	./js/test_data_(large_or_body_color_green)_and_second_color_red_1.json	yes	2	yes	23	Male	2	This was very fun				No	3.50	Trying to remember colors and body shape	yes	loved	logSubjInfo
pilot	8273-d4c8900e-3219-4a54-b7b4-de0360ad11f5	1542667840016	student	14	DISJUNCTION,CONJUNCTION	./js/training_data_(large_or_body_color_green)_and_second_color_red_1.json	./js/test_data_(large_or_body_color_green)_and_second_color_red_1.json	yes	2	yes	33	Female	1		no	2.00	I just listened to exactly what my partner told me to look for		yes	loved	logSubjInfo
