iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems		fairprice	strategy	humanPartner	likePartner	eventType
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540420240845	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	yes	1	yes	26	Male	1	Thanks	One of the trials		2.00	Picked what I thought matched the descriptions	no	okay	logSubjInfo
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540420255516	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	yes	2	yes	20	Male	2		everything worked great	$2	Look at the most common feature and what realistic animal it was 	yes	okay	logSubjInfo
