iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	nativeEnglish	enjoyment	assess	age	gender	education	comments	problems	fairprice	strategy	humanPartner	likePartner	eventType
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542067415455	explorer	14	DISJUNCTION,CONJUNCTION	./js/training_data_(large_or_body_color_green)_and_second_color_red_1.json	./js/test_data_(large_or_body_color_green)_and_second_color_red_1.json	yes	0	yes	41	Male	1	a bit underpaid	no	3.00	i just paid attention to qualities	no	loved	logSubjInfo
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542067560731	student	14	DISJUNCTION,CONJUNCTION	./js/training_data_(large_or_body_color_green)_and_second_color_red_1.json	./js/test_data_(large_or_body_color_green)_and_second_color_red_1.json	yes	2	yes	24	Male	3	Great study		No	6.00	I checked all the creatures with attributes suggested by my partner	yes	liked	logSubjInfo
