iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	nativeEnglish	enjoyment	assess	age	gender	education	comments	 	problems	fairprice	strategy	humanPartner	likePartner	eventType
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540398092662	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	yes	1	yes	28	Female	3	interesting		game was a little laggy with the chat	kind of	Tried to listen to my partner on identifying characteristics	yes	liked	logSubjInfo
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540398128090	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	yes	1	yes	55	Female	3		on the 4th round the chat room was laggy so we didn't communicate well	4.00	looked for patterns 	yes	liked	logSubjInfo
