experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	explorer	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	I think most kewps do not have whiskers	20.361	chatMessage	I	Q
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	student	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	anything else?	2.6519999999999997	chatMessage	F	?
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	student	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	you still there?	1.8719999999999999	chatMessage	F	?
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	explorer	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	Sorry I was trying to think.	4.195	chatMessage	F	O
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	explorer	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	A lot of kewps have purple on them	5.06	chatMessage	F	Q
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	student	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	alright	1.5490000000000002	chatMessage	F	O
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	explorer	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	I couldn't find a universal characteristic. 	7.678999999999999	chatMessage	F	O
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	student	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	that's fine	1.632	chatMessage	F	O
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	student	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	0	thank you	0.9440000000000001	chatMessage	F	A
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	1	morseths do not have leaves. 	8.641	chatMessage	I	G
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	1	sometimes they have berries, sometimes they do not.	5.172999999999999	chatMessage	I	Q
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	student	9	trees without leaves	trees_without_leaves	1	anything else?	2.609	chatMessage	F	?
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	student	9	trees without leaves	trees_without_leaves	1	color?	2.2030000000000003	chatMessage	F	?
mp-game-6	pilot	4614-ed69d903-0061-43b8-83d8-01d5bd9e72a5	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	1	color seems to not matter	6.117999999999999	chatMessage	F	G
