iterationName,game_id,time,trialNum,role,text,reactionTime,eventType,rule_idx,rule_type
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848217838,1.0,student,Hello,0.7,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848225206,1.0,explorer,Hey there,2.704,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848232366,1.0,explorer,cool creatures.,5.284,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848245125,1.0,explorer,Did you have good luck?,8.007,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848264281,1.0,student,"I am the ""student"" in the role, so haven't done anything yet but wait for you to get to the chat lol ",10.962,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848282126,1.0,explorer,"Oh, ok lol I found that if the creatures were orange they were Wudsy",35.762,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848298528,1.0,explorer,"Or, if they were carrying an orange butterfly",13.626,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848325249,1.0,explorer,"The yellow ones are not wudsy, but the color is close, so be careful",21.914,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848361993,1.0,student,"Cool thanks for the easy to follow good tips, I was a little worried about being able to figure it out from the chat part but that should be easy enough, hopefully we can get a big bonus :)",24.189,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848389368,1.0,explorer,"Colors were really the only variable that seemed to matter and the magic color is orange. Yes, a good bonus would be nice. Good luck!",62.51,chatMessage,0,SINGLE_FEAT
pilot1,3744-99a474ce-0034-4e12-8564-28a9ce1b8544,1524848401743,1.0,student,"You too, let's do it!",5.651,chatMessage,0,SINGLE_FEAT
