iterationName,game_id,time,trialNum,role,text,reactionTime,eventType,rule_idx,rule_type
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847596123,1.0,explorer,Hi,1.177,chatMessage,0,SINGLE_FEAT
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847600539,1.0,student,"HI,",2.657,chatMessage,0,SINGLE_FEAT
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847615704,1.0,explorer,I noticed that orange bodies and or orange wings are wudsy,16.525,chatMessage,0,SINGLE_FEAT
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847639917,1.0,student,That makes it easy. Was there anything else?,11.083,chatMessage,0,SINGLE_FEAT
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847678357,1.0,explorer,"I don't think so, just orange bodies, but if they have another color body with orange wings they are wudsy",33.025,chatMessage,0,SINGLE_FEAT
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847682372,1.0,explorer,good luck,1.491,chatMessage,0,SINGLE_FEAT
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847694754,1.0,student,Thanks for the info! Good luck to you too.,10.229,chatMessage,0,SINGLE_FEAT
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847714458,1.0,explorer,Thank you!  :),3.978,chatMessage,0,SINGLE_FEAT
pilot1,4452-806525ef-b3d7-4665-af76-23867b46607d,1524847729845,1.0,student,You're welcome.,5.689,chatMessage,0,SINGLE_FEAT
