iterationName	gameid	time	trialNum	role	hits	misses	falseAlarms	correctRejections	eventType
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739471753	2	playerB	1	3	4	4	logScores
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739474663	2	playerA	4	1	0	7	logScores
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739546193	3	playerA	4	0	0	8	logScores
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739548301	3	playerB	5	0	1	6	logScores
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739626887	4	playerA	7	0	1	4	logScores
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739629625	4	playerB	3	3	3	3	logScores
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739687969	5	playerB	7	0	1	4	logScores
pilot1	4168-ead62023-8119-4366-8c05-e2091e126643	1502739692909	5	playerA	3	3	6	0	logScores
