iterationName	gameid	time	trialNum	role	hit	miss	falseAlarm	correctRejection	eventType
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180348948	1	b	3	1	0	4	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180366727	1	a	1	3	3	1	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180504196	2	a	2	2	2	2	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180504641	2	b	2	2	2	2	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180686499	3	b	2	2	2	2	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180703242	3	a	4	0	0	4	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180880423	4	a	4	0	0	4	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180883843	4	b	3	1	1	3	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181138800	5	a	4	0	0	4	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181144815	5	b	3	1	1	3	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181273370	6	b	4	0	0	4	logScores
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181277189	6	a	4	0	0	4	logScores
