iterationName	gameid	time	trialNum	role	hit	miss	falseAlarm	correctRejection	eventType
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178561805	1	b	4	0	0	4	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178564321	1	a	0	4	4	0	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178843274	2	a	1	3	3	1	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508178867492	2	b	3	1	1	3	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508179055981	3	a	4	0	0	4	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508179069384	3	b	4	0	0	4	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508179220315	4	a	4	0	0	4	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508179224471	4	b	4	0	0	4	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508179491466	5	b	4	0	0	4	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508179491733	5	a	2	2	2	2	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508179660395	6	b	4	0	0	4	logScores
pilot1	5704-d3405420-8145-468e-9069-9a4f19f0bfc7	1508179664493	6	a	2	2	2	2	logScores
