experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	8290-f0a8d865-235b-45c8-81d2-ef4ab823a760	1548709684112	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0	46	1	1	2	44	logScores
mp-game-6	pilot	8290-f0a8d865-235b-45c8-81d2-ef4ab823a760	1548709703456	student	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	0	46	1	1	2	44	logScores
mp-game-6	pilot	8290-f0a8d865-235b-45c8-81d2-ef4ab823a760	1548709861524	explorer	0	"flowers with orange stems"	flowers_orange_stems	1	22	0	28	0	22	logScores
mp-game-6	pilot	8290-f0a8d865-235b-45c8-81d2-ef4ab823a760	1548709869028	student	0	"flowers with orange stems"	flowers_orange_stems	1	22	0	28	0	22	logScores
mp-game-6	pilot	8290-f0a8d865-235b-45c8-81d2-ef4ab823a760	1548709982071	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	2	7	3	40	0	7	logScores
mp-game-6	pilot	8290-f0a8d865-235b-45c8-81d2-ef4ab823a760	1548709987509	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	2	8	2	40	0	8	logScores
