experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	3421-d5e7a1c9-5535-439f-acec-fa522a1d5bad	1548099120935	explorer	36	"fish with (orange bodies and purple stripes) or whiskers"	fish_orange_bodies_purple_stripes_or_whiskers	0	26	3	21	0	26	logScores
mp-game-6	pilot	3421-d5e7a1c9-5535-439f-acec-fa522a1d5bad	1548099198096	student	36	"fish with (orange bodies and purple stripes) or whiskers"	fish_orange_bodies_purple_stripes_or_whiskers	0	1	28	21	0	1	logScores
mp-game-6	pilot	3421-d5e7a1c9-5535-439f-acec-fa522a1d5bad	1548099659009	explorer	6	"birds with tails"	birds_tails	1	27	0	23	0	27	logScores
mp-game-6	pilot	3421-d5e7a1c9-5535-439f-acec-fa522a1d5bad	1548099721072	student	6	"birds with tails"	birds_tails	1	1	26	23	0	1	logScores
