iterationName	gameid	time	trialNum	role	type	hits	misses	correct_rejections	false_alarms	score	eventType
pilot1	3744-99a474ce-0034-4e12-8564-28a9ce1b8544	1524848211528		explorer	training	13	3	32	3	10	logScores
pilot1	3744-99a474ce-0034-4e12-8564-28a9ce1b8544	1524848462084		student	testing	11	0	19	0	11	logScores
pilot1	3744-99a474ce-0034-4e12-8564-28a9ce1b8544	1524848503254		explorer	testing	11	0	19	0	11	logScores
