iterationName	gameid	time	trialNum	role	type	hits	misses	correct_rejections	false_alarms	score	eventType
pilot1	4452-806525ef-b3d7-4665-af76-23867b46607d	1524847590565		explorer	training	13	2	32	4	9	logScores
pilot1	4452-806525ef-b3d7-4665-af76-23867b46607d	1524847796685		explorer	testing	11	0	19	0	11	logScores
pilot1	4452-806525ef-b3d7-4665-af76-23867b46607d	1524847810187		student	testing	11	0	17	2	9	logScores
