"workerid","col4_crit","species","prop2_crit","trial_num","question","time_in_seconds","prop1_crit","critter","col1_crit","tar1_crit","tar2_crit","col3_crit","col2_crit","col4","col5","col2","col3","col1","response","condition","trial_type","prop1","prop2","col5_crit","tar2","tar1"
6,-99,"rambo","fatness",2,"tar2",4.42,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fdfd02","#5ff01b","#d8d713","No","pepsin_detector","learning_trial",0.10337013724,0.602269421221,-99,0,1
6,-99,"blicket","fatness",3,"tar2",4.872,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fd4501","#fa4d0c","#df340b","No","pepsin_detector","learning_trial",0.363394697703,0.0475783489382,-99,0,1
6,-99,"blicket","fatness",4,"tar2",7.328,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fd4500","#f7e31c","#d54e28","No","pepsin_detector","learning_trial",0.937854674667,0.732224392174,-99,0,1
6,-99,"wug","fatness",5,"tar2",2.98,"height","bird","crest","tail","crest","wing","body",-99,-99,"#02fd1b","#0a2e07","#5aec1c","No","pepsin_detector","learning_trial",0.245627345746,0.437945441967,-99,0,0
6,-99,"wug","fatness",6,"tar2",5.031,"height","bird","crest","tail","crest","wing","body",-99,-99,"#02fe1c","#1e7c2a","#1b9905","No","pepsin_detector","learning_trial",0.396864064103,0.85507025979,-99,0,1
6,-99,"blicket","fatness",7,"tar2",4.575,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fd4501","#efa311","#f73608","No","pepsin_detector","learning_trial",0.878098399759,0.808361740996,-99,0,1
6,-99,"wug","fatness",8,"tar1",4.647,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fe1a","#077302","#40864c","Yes","pepsin_detector","learning_trial",0.384746758156,0.00503083500867,-99,0,1
6,-99,"rambo","fatness",9,"tar1",3.919,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe02","#62f910","#e0d00b","Yes","pepsin_detector","learning_trial",0.61573710498,0.755730028897,-99,0,0
6,-99,"rambo","fatness",10,"tar1",3.447,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe02","#7cfb10","#dad217","Yes","pepsin_detector","learning_trial",0.162064458573,0.942423597593,-99,0,0
6,-99,"blicket","fatness",11,"tar2",7.463,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fd4602","#e57e16","#d45826","No","pepsin_detector","learning_trial",0.0746063045829,0.882354498469,-99,0,1
6,-99,"wug","fatness",12,"tar2",3.631,"height","bird","crest","tail","crest","wing","body",-99,-99,"#00fd1a","#082307","#47e339","No","pepsin_detector","learning_trial",0.390654516432,0.555655094472,-99,0,1
7,-99,"wug","fatness",1,"tar1",4.707,"height","bird","crest","tail","crest","wing","body",-99,-99,"#01fd1b","#0d310b","#07951f","Yes","label_book","learning_trial",0.610400206165,0.898042970005,-99,1,1
7,-99,"blicket","fatness",2,"tar1",4.174,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fc4400","#f8910e","#dd511e","Yes","label_book","learning_trial",0.382353058358,0.361559616257,-99,0,1
7,-99,"rambo","fatness",3,"tar1",2.569,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fdfd01","#6ae71a","#fcee07","No","label_book","learning_trial",0.542463380549,0.105851894477,-99,0,0
7,-99,"rambo","fatness",4,"tar2",2.345,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe02","#73e504","#cdcb0e","No","label_book","learning_trial",0.65995700175,0.884694522194,-99,0,0
7,-99,"rambo","fatness",5,"tar1",3.073,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe02","#a7fc1a","#c4d809","No","label_book","learning_trial",0.63291981994,0.936055238189,-99,0,0
7,-99,"blicket","fatness",6,"tar2",3.128,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fc4501","#fa6a08","#e63a11","No","label_book","learning_trial",0.720893875037,0.42387221711,-99,0,1
7,-99,"blicket","fatness",7,"tar1",2.988,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fd4602","#f8eb17","#f25430","Yes","label_book","learning_trial",0.209351590646,0.288395397418,-99,0,1
7,-99,"rambo","fatness",8,"tar2",1.841,"height","bird","crest","tail","crest","wing","body",-99,-99,"#fefe02","#7cf912","#d2d40e","No","label_book","learning_trial",0.273408061917,0.619097958359,-99,0,1
