iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542065870452	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	testing	0	22	6	0	0	34.433	3.414	37.847	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542065912594	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	testing	4	18	6	0	4	75.082	5.026	80.108	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542066315834	explorer	11	CONJUNCTION,DISJUNCTION	./js/training_data_(critter_bird_and_body_color_orange)_or_small_1.json	./js/test_data_(critter_bird_and_body_color_orange)_or_small_1.json	testing	9	4	18	0	9	31.057	1.397	32.454	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542066363953	student	11	CONJUNCTION,DISJUNCTION	./js/training_data_(critter_bird_and_body_color_orange)_or_small_1.json	./js/test_data_(critter_bird_and_body_color_orange)_or_small_1.json	testing	1	12	14	4	-3	80.676	1.668	82.344	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542066697610	student	12	CONJUNCTION,DISJUNCTION	./js/training_data_(critter_fish_and_large)_or_body_color_blue_1.json	./js/test_data_(critter_fish_and_large)_or_body_color_blue_1.json	testing	8	5	18	0	8	52.225	1.241	53.466	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542066720767	explorer	12	CONJUNCTION,DISJUNCTION	./js/training_data_(critter_fish_and_large)_or_body_color_blue_1.json	./js/test_data_(critter_fish_and_large)_or_body_color_blue_1.json	testing	1	12	18	0	1	40.873	1.617	42.49	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542067086348	explorer	13	DISJUNCTION,CONJUNCTION	./js/training_data_(critter_bug_or_small)_and_second_color_red_1.json	./js/test_data_(critter_bug_or_small)_and_second_color_red_1.json	testing	1	5	16	6	-5	28.28	1.032	29.312	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542067094060	student	13	DISJUNCTION,CONJUNCTION	./js/training_data_(critter_bug_or_small)_and_second_color_red_1.json	./js/test_data_(critter_bug_or_small)_and_second_color_red_1.json	testing	0	6	16	6	-6	46.306	1.141	47.447	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542067276512	explorer	14	DISJUNCTION,CONJUNCTION	./js/training_data_(large_or_body_color_green)_and_second_color_red_1.json	./js/test_data_(large_or_body_color_green)_and_second_color_red_1.json	testing	2	4	22	2	0	21.868	1.08	22.948	logScores
pilot	2529-2a9a5854-39b7-4f29-a61f-be889e8f20e9	1542067320771	student	14	DISJUNCTION,CONJUNCTION	./js/training_data_(large_or_body_color_green)_and_second_color_red_1.json	./js/test_data_(large_or_body_color_green)_and_second_color_red_1.json	testing	1	5	18	6	-5	66.989	1.454	68.443	logScores
