iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415491794	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	29.498	2.531	32.029	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415514640	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	33.461	2.744	36.205	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415873266	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	18.036	1.204	19.24	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415902405	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	18.725	1.824	20.549	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416186416	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	28.21	1.093	29.303	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416205994	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	44.8	4.375	49.175	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416870421	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	11	7	12	0	11	37.543	1.041	38.584	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416883742	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	11	7	12	0	11	49.958	3.857	53.815	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540417463016	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	6	12	13	0	6	39.672	1.726	41.398	logScores
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540417468844	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	18	0	13	0	18	44.901	1.808	46.709	logScores
