iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540408423486	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	35.087	4.768	39.855	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540408458163	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	69.166	5.945	75.111	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540408776399	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	25.329	1.663	26.992	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540408837676	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	85.269	6.792	92.061	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540409188202	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	52.631	2.218	54.849	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540409217518	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	81.177	1.545	82.722	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540409658339	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	18	0	12	0	18	49.814	1.782	51.596	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540409712394	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	11	7	12	0	11	103.315	1.352	104.667	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540410068386	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	18	0	13	0	18	28.912	1.524	30.436	logScores
pilot	2449-b04dcd87-7293-48e8-be56-6943b3b98972	1540410116255	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	18	0	13	0	18	75.462	6	81.462	logScores
