iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540396999198	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	17.639	3.546	21.185	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540397021830	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	36.909	2.408	39.317	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540397164229	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	11.455	1.838	13.293	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540397173147	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	20.74	2.663	23.403	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540397286787	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	18.281	1.341	19.622	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540397302203	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	33.352	1.8	35.152	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540397808849	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	3	15	12	0	3	20.196	1.209	21.405	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540397820533	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	18	0	12	0	18	30.047	1.776	31.823	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540398022103	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	15	3	13	0	15	27.567	1.383	28.95	logScores
pilot	1958-60a25e4c-ebfe-404f-ba97-eccf2f185024	1540398022667	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	16	2	13	0	16	28.365	1.241	29.606	logScores
