iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540407465382	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	0	11	19	0	0	43.674	3.959	47.633	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540407481627	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	1	10	19	0	1	61.005	1.975	62.98	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540407678040	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	3	1	24	0	3	20.503	1.48	21.983	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540407680828	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	2	2	24	0	2	24.681	2.16	26.841	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540407895423	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	28.013	1.008	29.021	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540407911083	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	34.143	1.376	35.519	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540408264413	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	3	15	11	1	2	63.004	1.215	64.219	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540408268360	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	4	14	12	0	4	74.268	0.996	75.264	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540408550372	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	17	1	13	0	17	37.723	1.108	38.831	logScores
pilot	2091-41a1cdbf-69a5-481a-b7b2-24f9dfa78596	1540408565023	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	16	2	13	0	16	51.41	1.879	53.289	logScores
