iterationName	gameid	time	trialNum	role	hit	miss	falseAlarm	correctRejection	eventType
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191501994	1	b	3	1	0	4	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191515785	1	a	4	0	1	3	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191583601	2	b	4	0	4	0	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191584035	2	a	2	2	2	2	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191645410	3	a	3	1	1	3	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191649329	3	b	4	0	0	4	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191714322	4	a	2	2	2	2	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191715961	4	b	4	0	0	4	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191782994	5	b	4	0	0	4	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191785215	5	a	4	0	0	4	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191842492	6	b	2	2	2	2	logScores
pilot1	5071-c2f275bf-af4e-423e-9587-af9b20c9b56a	1508191851424	6	a	4	0	0	4	logScores
