iterationName	gameid	time	trialNum	role	hit	miss	falseAlarm	correctRejection	eventType
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181089552	1	b	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181123466	1	a	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181293733	2	b	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181315547	2	a	3	1	1	3	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181465722	3	b	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181476159	3	a	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181622468	4	b	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181650230	4	a	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181795178	5	a	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181800709	5	b	3	1	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181895781	6	b	4	0	0	4	logScores
pilot1	1291-077972c4-4ccf-4f59-9276-4da9f6d86086	1508181920012	6	a	4	0	0	4	logScores
