iterationName	gameid	time	trialNum	role	hit	miss	falseAlarm	correctRejection	eventType
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023726	1	b	2	2	2	2	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185036115	1	a	2	2	2	2	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185133550	2	b	4	0	2	2	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185146791	2	a	4	0	0	4	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185231018	3	a	2	2	2	2	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185238075	3	b	4	0	2	2	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185307911	4	b	4	0	0	4	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185308741	4	a	4	0	0	4	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185406999	5	b	3	1	2	2	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185409372	5	a	3	1	1	3	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185508753	6	a	4	0	0	4	logScores
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185514152	6	b	1	3	3	1	logScores
