iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520980827185		explorer	hi	1022	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520980845192		student	hi, partner. what are wudsy creatures?	15272	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520980882454		explorer	I think they are small, skinny and little eyes	20796	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520980893961		student	how sure are you?	2437	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520980910906		explorer	I am about 75% sure	10169	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520980921800		explorer	what do you think they were?	8769	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520980950713		student	I have'nt experienced any creatures. you're the explorer, not me.	12448	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520980995485		explorer	it said we both had to gigure what they were	12947	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520981017085		explorer	there was no one person was an explore it was a joint thing	17200	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520981028932		explorer	but that is cool	3550	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520981046033		explorer	I guess we are finished have a good time	9639	chatMessage
pilot1	2602-d183f786-44b3-4ade-8acd-697f1ab4fb9d	1520981051545		student	you too	1813	chatMessage
