iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977487760		explorer	I have no clue	2406	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977500463		explorer	:(	545	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977509299		explorer	It seemed almost random to me.	5416	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977532854		student	WHAT WAS CONFUSING 	8139	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977554289		explorer	I THINK IT WAS THAT THE COLORS WERE RANDOM	14639	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977557984		student	SHOULD I BE LOOKING OUT FOR ANYTHING	14471	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977581367		explorer	WHY ARE WE TALKING IN CAPS?	8177	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977581721		student	WAS IT AN OVERALL DIFFICULT TASK	10165	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977587822		explorer	YES!	2047	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977614090		explorer	ALL I CAN SAY IS GOOD LUCK!	5730	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977617406		student	i didnt realize it was caps lol but yes i see what you mean.	26319	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977618258		student	'	854	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977619188		explorer	<3	2023	chatMessage
pilot1	0269-7113e9e5-7b58-4bb3-9ea2-e40fdd513e18	1520977621886		student	THANKS	2681	chatMessage
