iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695467584		explorer	I want to say that the green fish with different colored stripes are wudsy	24726	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695488837		student	Ok, good to know. I will look for that pattern.	10723	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695497304		explorer	Also, look for violet insects with wings	15879	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695509811		explorer	orange fish with colorful stripes	11143	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695528784		explorer	I believe green was another common color	6503	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695534938		student	Great, Thank you for the information	15832	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695545483		explorer	you're welcome, hope it helps	4423	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695563540		explorer	I wish I had the reference to look at while describing	10311	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695582010		explorer	there were many different color combinations...	13279	chatMessage
pilot1	4558-2c90c8e0-b11c-4768-8eed-ae052194da99	1522695616814		student	Im sure it will come in handy for me. I see what you are saying about the many different types	35024	chatMessage
