iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700169576		student	Hi, what can you tell me about wudsy creatures?	16191	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700177593		explorer	There are a few types	5731	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700185865		explorer	Big bodied fish, little bodied fish	5896	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700202140		explorer	All green and orange fish, either big bodied or little bodied, are wudsys	14236	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700213306		explorer	All blue colored birds are wudsys	7727	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700229926		explorer	Bugs with blue wings are wudsys	5162	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700246064		explorer	thats it	2288	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700249061		student	anything else	4805	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700267656		explorer	there are two sizes of birds, too, but just look for the blue bodies	12416	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700286342		student	ok, so all green and orange fish	24739	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700290645		student	blue birds	2533	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700297245		student	bugs with blue wings	5828	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700321764		explorer	yeah.  The fish come striped, ignore the stripes, just either green bodied or orange bodied 	21767	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700339515		student	ok, got it! 	12196	chatMessage
pilot1	0879-35358fbc-d639-4587-9546-dd511a34d242	1522700343737		explorer	cool good luck!	2203	chatMessage
