iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	text	reactionTime	eventType
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058291229	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	What does a dorbsy look like?	5575	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058327544	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Well, it's hard to tell for sure from the information provided. The flat insect with wings and ten little legs is almost always a dorbsy, but so are a few other creatures	35973	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058367807	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Sometimes fish are also dorbsy, and sometimes birds with short legs are dorbsy, but not always	23572	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058379788	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	There is no clear way to differentiate those	6163	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058407164	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Wow, interesting!  Where they colorful?	6643	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058438194	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Any shared characteristics that you could see?	9827	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058455680	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	They were, but it did not appear to be based on color reliably. I will say that birds with purple plumage tended to be dorbsy	45495	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058472706	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Fish were in all colors and fin colors	4515	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058498413	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Sometimes birds even with long legs were bordby if they had purple plumage	10940	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058503767	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	*dorbsy	1504	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058526339	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Birds with short legs tended to be dorbsy, but did not always have purple plumage	13982	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058547195	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	The flat bugs were dorbsy pretty much no matter what color they were	9549	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058565203	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	okay, that's really good to know.  did they always have 10 legs?  the flat bug ones?	14008	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058582660	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Yes, I believe so	2580	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058601280	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Alright, I think that's really good information.  Thank you very much.	9357	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058612083	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Anything else you can think of before we start?	5777	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058617603	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	You're welcome. That's all I can think of. Good luck :)	11889	chatMessage
pilot	5646-19838d28-f084-4249-b921-b6909c7db419	1542058639201	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Sounds great!  Thank you!  Best of luck to you as well. =]	15656	chatMessage
