iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	text	reactionTime	eventType	messageType
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428348834	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	hey	852	chatMessage	Social
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428351543	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	hi.	1024	chatMessage	Social
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428406860	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	any thing which has dark yelowish orange colour in it is wudsies	49004	chatMessage	Informative
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428435423	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	Is there no other quality of a wudsie?	9240	chatMessage	Follow-Up
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428488147	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	nope only color related that orange type 	26486	chatMessage	Follow-Up
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428493437	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	Thanks.	1056	chatMessage	Confirmation
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428684528	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	they are fish with blue color 	14869	chatMessage	Informative
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428702452	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	Hello again, thanks for the perfect score. Is a fish with blue the only trait of morseths?	30789	chatMessage	Informative
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428711014	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	yeah 	1242	chatMessage	Confirmation
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1540428861436	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	color combo of orange and purple 	17045	chatMessage	Informative
